celebrity,category,date,spotify_position,spotify_streams,billboard_hot100,billboard_200,melon_position
Taylor Swift,Western,2026-01-13,,,4.0,4.0,
Sabrina Carpenter,Western,2026-01-13,,,298.0,60.0,
Olivia Rodrigo,Western,2026-01-13,,,,494.0,
Billie Eilish,Western,2026-01-13,,,,214.0,
Dua Lipa,Western,2026-01-13,,,,,
Nicki Minaj,Western,2026-01-13,,,,,
Cardi B,Western,2026-01-13,,,816.0,284.0,
Bruno Mars,Western,2026-01-13,,,,1614.0,
Lady Gaga,Western,2026-01-13,,,,1138.0,
NewJeans,K-pop,2026-01-13,,,,,90.0
BTS,K-pop,2026-01-13,,,,,
BLACKPINK,K-pop,2026-01-13,,,,,12.0
Stray Kids,K-pop,2026-01-13,,,,2160.0,
SEVENTEEN,K-pop,2026-01-13,,,,,
TWICE,K-pop,2026-01-13,,,,,
ITZY,K-pop,2026-01-13,,,,,
(G)I-DLE,K-pop,2026-01-13,,,,,
aespa,K-pop,2026-01-13,,,,,34.0
LE SSERAFIM,K-pop,2026-01-13,,,,,6.0
IVE,K-pop,2026-01-13,,,1138.0,,37.0
ILLIT,K-pop,2026-01-13,,,,,16.0
Hearts2Hearts,K-pop,2026-01-13,,,,,57.0
KATSEYE,K-pop,2026-01-13,,,284.0,438.0,
KiiiKiii,K-pop,2026-01-13,,,,,
TXT,K-pop,2026-01-13,,,,,
ENHYPEN,K-pop,2026-01-13,,,,,
BOYNEXTDOOR,K-pop,2026-01-13,,,,,33.0
NMIXX,K-pop,2026-01-13,,,,,5.0
CORTIS,K-pop,2026-01-13,,,,,
All Day Project,K-pop,2026-01-13,,,,,
